upstream_sha	date	subject	bucket	disposition	rayn_sha	invariant	evidence	reviewer	campaign
abaffaefef881639b682c382e019d30ebad95094	2026-05-08	i18n: add chain translations for other languages (other than en)	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
4feb2f58f8d25edb399e035583f6906603deb93e	2026-05-08	feat(chain): implement chain quick settings, chain timeline, chain menu and more...	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
7b6b203a6f8778bf9956af38de29a24863e49c9a	2026-05-17	refactor: use PerAppProxyPage instead of AndroidAppsPage for better UX; deprecating direct package selection in route rules	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
b39c30b350d9808c160ad3ef3649add6caa314e1	2026-05-17	feat: add predefined rules modal	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
89fdc89f6b07021eabd8b567bc2216a1e1f45974	2026-05-17	move RulePage items validator to RuleEnum to simplify logic	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
f93ec3418f3fd39ad26e3852169c5e14a0bdae5c	2026-05-17	Fix stale isRuleEdited state when checking for auto-save in RulePage onExit	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
c625775e41f7f0bb7a1978ef2f13896a9b130b11	2026-05-17	Replace hardcoded strings with translations	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
633dddd949031939f3a6ad671934f1fea22b0151	2026-05-17	Get validator from RuleEnum instead of constructor parameter to simplify and bypass go_router limitations	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
205316b678f56f668e0fc032bfdccc7c3dfb3803	2026-05-17	Remove package section from rule (replaced by per-app proxy), remove PopScope logic (moved to onExit in routing config notifier), and update navigation and route logic	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
0d2832ea70542f62a7b2d8051f3d5b5ca326c0f2	2026-05-17	Using go router instead of Navigator	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
f9c0e95e8ea5863a39b76b48a91152c4289ddda7	2026-05-18	Merge route_options_page and rules_page into routing_options_page, add expandable route general options, FAB menu, and empty state for rules list and more...	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
c4530d45050067056c018b7f9997e4ec9b830e96	2026-05-31	fix: add confirmation for deep link profile addition to prevent SSRF	DEAD	REJECT-DEAD			E4 security commit, rejected on STRUCTURAL grounds not relevance. Upstream adds an import-confirmation dialog to guard zero-click SSRF via a deep link. This fork has no live deep-link import path: deepLinkNotifierProvider is commented out at lib/bootstrap.dart:123, no call site feeds a deep-linked URL to LinkParser.parse, and the file it patches (lib/core/router/bottom_sheets/bottom_sheets_notifier.dart) is deleted. Import is rayn://import/<token> only, requiring a token encrypted under the build-time secret. RE-EXAMINE THIS ROW if deep-link import is ever enabled.	claude	2026-08
8cbe574630997966d1b75cacdf460ae4e30526b7	2026-05-31	refactor: use slang translations for add profile dialog	DEAD	REJECT-DEAD			Mechanical: every path this commit touches was deleted by this fork (git diff --diff-filter=D fbc6cbd4..custom-main). Nothing to apply.	claude	2026-08
6127ce106328233dc9b66142f52692c54fcd84c6	2026-05-31	feat: add addProfileByDeepLinkWarning translation for ar, tr, zh-TW	NOISE	REJECT-DEAD			Mechanical: non-English locale files only, for features this fork does not have. Translations are a derived artefact here and are never cherry-picked; en.i18n.json is swept separately at the end of a campaign.	claude	2026-08
